City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ushuaia,AR,51.8,few clouds,-54.8,-68.3,Albatros Hotel
1,Bredasdorp,ZA,68.0,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
3,Ketchikan,US,41.0,moderate rain,55.3422,-131.6461,Snows Cove Lodge
4,Angoche,MZ,78.98,light rain,-16.2325,39.9086,Guest House HESADA
6,Ponta Do Sol,PT,51.01,overcast clouds,32.6667,-17.1,Hotel do Campo
7,Cape Town,ZA,68.0,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
8,Yulara,AU,68.0,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
10,El Tigre,VE,80.98,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
11,Hervey Bay,AU,84.0,broken clouds,-25.2986,152.8535,Shelly Bay Resort
15,Puerto Ayora,EC,79.0,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
18,Vaini,TO,80.6,light rain,-21.2,-175.2,Keleti Beach Resort
20,Rikitea,PF,78.78,overcast clouds,-23.1203,-134.9692,Pension Maro'i
21,Dongkan,CN,40.3,overcast clouds,33.9997,119.8308,Triumphal Resort
22,Mataura,NZ,68.94,broken clouds,-46.1927,168.8643,Ellie's Villa
23,Busselton,AU,61.0,clear sky,-33.65,115.3333,Observatory Guest House
25,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
27,Mar Del Plata,AR,64.99,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
29,San Antonio,US,78.8,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
30,Port Alfred,ZA,66.0,few clouds,-33.5906,26.891,The Halyards Hotel
31,Namibe,AO,71.58,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
32,Cotonou,BJ,84.2,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
33,Scarborough,GB,42.01,light rain,54.2797,-0.4044,Ambassador
36,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
37,Fernandez,AR,74.82,clear sky,-27.9204,-63.8935,Cordoba Hunting
41,Ngunguru,NZ,67.71,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
42,Cabo San Lucas,MX,86.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
44,Shingu,JP,41.0,scattered clouds,33.7333,135.9833,Shingu UI Hotel
45,Bluff,NZ,57.72,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
