,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,51.8,71,20,36.82,few clouds
1,Bredasdorp,ZA,-34.5322,20.0403,68.0,77,76,6.91,broken clouds
2,Luderitz,NA,-26.6481,15.1594,67.78,60,0,19.13,clear sky
3,Ketchikan,US,55.3422,-131.6461,41.0,100,90,2.8,moderate rain
4,Angoche,MZ,-16.2325,39.9086,78.98,92,95,4.74,light rain
5,Thompson,CA,55.7435,-97.8558,-7.6,77,90,9.22,snow
6,Ponta Do Sol,PT,32.6667,-17.1,51.01,63,94,3.0,overcast clouds
7,Cape Town,ZA,-33.9258,18.4232,68.0,77,0,9.22,clear sky
8,Yulara,AU,-25.2406,130.9889,68.0,60,90,11.5,overcast clouds
9,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,74,75,12.66,mist
10,El Tigre,VE,8.8875,-64.2454,80.98,63,69,14.79,broken clouds
11,Hervey Bay,AU,-25.2986,152.8535,84.0,60,61,4.0,broken clouds
12,Soavinandriana,MG,-19.1667,46.7333,60.46,100,90,3.53,overcast clouds
13,Krosno Odrzanskie,PL,52.0549,15.0988,30.99,97,95,4.0,overcast clouds
14,Nanortalik,GL,60.1432,-45.2371,21.49,78,96,7.43,overcast clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,79.0,89,39,5.01,scattered clouds
16,Teguldet,RU,57.3064,88.1667,4.08,94,94,6.29,overcast clouds
17,Taoudenni,ML,22.6783,-3.9836,70.79,19,39,6.78,scattered clouds
18,Vaini,TO,-21.2,-175.2,80.6,94,75,6.91,light rain
19,Tiksi,RU,71.6872,128.8694,-21.78,88,100,7.36,overcast clouds
20,Rikitea,PF,-23.1203,-134.9692,78.78,68,97,11.27,overcast clouds
21,Dongkan,CN,33.9997,119.8308,40.3,74,98,6.6,overcast clouds
22,Mataura,NZ,-46.1927,168.8643,68.94,47,51,3.42,broken clouds
23,Busselton,AU,-33.65,115.3333,61.0,71,0,1.01,clear sky
24,Saint-Augustin,CA,51.226,-58.6502,34.57,97,100,8.23,light rain
25,Pisco,PE,-13.7,-76.2167,75.2,69,0,19.57,clear sky
26,Seymchan,RU,62.8833,152.4333,-13.25,87,100,4.0,light snow
27,Mar Del Plata,AR,-38.0023,-57.5575,64.99,77,40,10.36,scattered clouds
28,Bethel,US,41.3712,-73.414,30.2,69,1,2.66,clear sky
29,San Antonio,US,29.4241,-98.4936,78.8,47,1,3.44,clear sky
30,Port Alfred,ZA,-33.5906,26.891,66.0,87,16,8.99,few clouds
31,Namibe,AO,-15.1961,12.1522,71.58,70,0,7.0,clear sky
32,Cotonou,BJ,6.3654,2.4183,84.2,84,40,12.66,scattered clouds
33,Scarborough,GB,54.2797,-0.4044,42.01,95,100,7.0,light rain
34,Barrow,US,71.2906,-156.7887,-25.6,83,75,9.22,mist
35,Tessalit,ML,20.1986,1.0114,68.31,21,75,14.94,broken clouds
36,Cayenne,GF,4.9333,-52.3333,78.8,83,75,8.05,broken clouds
37,Fernandez,AR,-27.9204,-63.8935,74.82,42,0,6.53,clear sky
38,Nikolskoye,RU,59.7035,30.7861,8.01,85,75,6.71,broken clouds
39,Qaanaaq,GL,77.484,-69.3632,-20.94,61,55,8.57,broken clouds
40,Havoysund,NO,70.9963,24.6622,30.2,64,75,18.41,snow
41,Ngunguru,NZ,-35.6167,174.5,67.71,70,60,4.7,broken clouds
42,Cabo San Lucas,MX,22.8909,-109.9124,86.0,30,20,8.05,few clouds
43,Tokur,RU,53.1333,132.9,-35.07,84,89,3.0,overcast clouds
44,Shingu,JP,33.7333,135.9833,41.0,56,40,8.05,scattered clouds
45,Bluff,NZ,-46.6,168.3333,57.72,65,58,7.47,broken clouds
46,Port Elizabeth,ZA,-33.918,25.5701,66.2,88,0,2.3,clear sky
47,Berlevag,NO,70.8578,29.0864,28.47,91,100,17.98,light snow
48,Paamiut,GL,61.994,-49.6678,17.17,75,0,8.01,clear sky
49,Chokurdakh,RU,70.6333,147.9167,-13.02,87,49,20.04,scattered clouds
50,Pemangkat,ID,1.1667,108.9667,76.71,90,100,8.93,moderate rain
51,Bumba,CD,2.1833,22.4667,73.71,89,100,2.06,overcast clouds
52,Roald,NO,62.5833,6.1333,23.0,50,20,6.91,few clouds
53,Punta Arenas,CL,-53.15,-70.9167,51.8,54,0,26.46,clear sky
54,Taksimo,RU,56.3444,114.8794,-13.47,84,100,0.38,overcast clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,77.85,81,0,27.11,clear sky
56,Lahij,YE,13.1667,44.5833,65.77,71,0,5.86,clear sky
57,Plettenberg Bay,ZA,-34.0527,23.3716,64.96,89,4,2.13,clear sky
58,Liverpool,GB,53.4106,-2.9779,44.6,93,90,6.91,overcast clouds
59,Lebu,CL,-37.6167,-73.65,63.23,74,0,2.19,clear sky
60,Rawson,AR,-43.3002,-65.1023,85.91,20,0,25.19,clear sky
61,Yellowknife,CA,62.456,-114.3525,-25.6,68,20,10.36,few clouds
62,Nantucket,US,41.2835,-70.0995,33.8,80,90,4.61,overcast clouds
63,Albany,US,42.6001,-73.9662,33.8,55,20,4.61,few clouds
64,Port Lincoln,AU,-34.7333,135.8667,62.83,70,57,22.84,broken clouds
65,Jamestown,US,42.097,-79.2353,33.8,47,1,6.91,clear sky
66,Kokopo,PG,-4.352,152.2633,84.38,70,80,7.34,light rain
67,Kodiak,US,57.79,-152.4072,32.65,90,0,2.8,clear sky
68,Santa Maria,BR,-29.6842,-53.8069,71.6,78,40,3.44,scattered clouds
69,Hithadhoo,MV,-0.6,73.0833,82.33,76,100,9.86,overcast clouds
70,Maymyo,MM,22.0333,96.4667,53.6,82,3,3.27,mist
71,Bodden Town,KY,19.2833,-81.25,75.2,69,20,12.66,few clouds
72,Alangudi,IN,10.3606,78.9849,71.6,78,20,6.91,mist
73,Alta Floresta,BR,-9.8756,-56.0861,75.2,100,40,1.14,scattered clouds
74,Poum,NC,-20.2333,164.0167,80.38,81,9,14.45,clear sky
75,Lola,GN,7.8,-8.5333,70.72,90,46,3.33,moderate rain
76,Avarua,CK,-21.2078,-159.775,84.2,70,95,5.75,overcast clouds
77,Bengkulu,ID,-3.8004,102.2655,75.33,84,75,4.43,broken clouds
78,Marawi,PH,7.9986,124.2928,75.99,83,78,5.01,broken clouds
79,Bayir,TR,37.2687,28.2167,46.4,100,0,1.14,mist
80,Dilla,ET,6.41,38.31,60.58,32,0,3.24,clear sky
81,Kashi,CN,39.4547,75.9797,28.4,59,0,8.95,clear sky
82,Tasiilaq,GL,65.6145,-37.6368,26.6,80,75,18.41,light snow
83,Airai,TL,-8.9266,125.4092,65.64,100,100,4.09,light rain
84,Udachnyy,RU,66.4167,112.4,-39.95,79,41,3.74,scattered clouds
85,Fare,PF,-16.7,-151.0167,81.82,66,38,6.93,scattered clouds
86,Atuona,PF,-9.8,-139.0333,78.55,71,25,10.8,scattered clouds
87,Kabo,CF,7.6994,18.629,74.34,23,10,4.29,clear sky
88,At-Bashi,KG,41.1702,75.8106,6.82,59,11,0.76,few clouds
89,Cascais,PT,38.6979,-9.4215,53.01,100,20,3.44,few clouds
90,Narsaq,GL,60.9167,-46.05,15.8,53,88,6.26,overcast clouds
91,Lavrentiya,RU,65.5833,-171.0,-7.71,87,100,20.45,overcast clouds
92,Mogadishu,SO,2.0371,45.3438,77.32,81,28,18.43,scattered clouds
93,Waipawa,NZ,-41.4122,175.5153,59.0,72,90,21.85,overcast clouds
94,New Norfolk,AU,-42.7826,147.0587,75.0,63,78,1.01,broken clouds
95,Bathsheba,BB,13.2167,-59.5167,78.8,61,20,19.57,few clouds
96,Peniche,PT,39.3558,-9.3811,52.0,88,95,3.0,overcast clouds
97,Coquimbo,CL,-29.9533,-71.3436,60.8,82,75,9.22,broken clouds
98,Hobart,AU,-42.8794,147.3294,73.0,88,75,4.61,light intensity drizzle
99,Owando,CG,-0.4819,15.8999,73.54,88,65,3.98,broken clouds
100,Saint-Philippe,RE,-21.3585,55.7679,80.6,69,75,4.61,light rain
101,Ambovombe,MG,-25.1667,46.0833,80.62,69,61,10.65,broken clouds
102,Agadir,MA,30.4202,-9.5982,57.2,100,75,3.44,broken clouds
103,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,69.62,24,21,14.99,few clouds
104,Vaasa,FI,63.096,21.6158,10.99,92,9,5.75,clear sky
105,Saint George,US,37.1041,-113.5841,54.0,24,1,8.05,clear sky
106,Surigao,PH,9.7839,125.4889,79.84,83,52,8.55,broken clouds
107,Puerto Madryn,AR,-42.7692,-65.0385,83.66,23,0,28.1,clear sky
108,Torbay,CA,47.6666,-52.7314,42.01,100,90,2.3,fog
109,Fomboni,KM,-12.28,43.7425,83.07,70,22,3.51,few clouds
110,Prince Rupert,CA,54.3161,-130.3201,39.2,93,90,4.61,mist
111,Los Llanos De Aridane,ES,28.6585,-17.9182,60.8,51,20,6.91,few clouds
112,Nalut,LY,30.3333,10.85,55.29,41,37,11.41,scattered clouds
113,Saint-Pierre,RE,-21.3393,55.4781,80.6,69,75,4.61,broken clouds
114,San Patricio,US,28.017,-97.5169,78.8,61,20,16.11,few clouds
115,Ibitinga,BR,-21.7578,-48.8289,75.61,87,100,2.42,moderate rain
116,Goure,NE,13.9835,10.2704,70.0,22,0,11.01,clear sky
